Time,Temp,IR,Vis,Lux,Accel_X,Accel_Y,Accel_Z,Tilt,Mag_X,Mag_Y,Mag_Z,H.Angle,Direction,VBAT
2024/04/18 10:17:04,26.69,3137,4457,63,-8.53,1.15,5.45,83,-56.99,33.44,-13.27,187,S,3.89
2024/04/18 10:47:14,23.69,3116,4429,63,-9.96,0.76,-0.45,85,-62.71,52.46,-15.54,162,S,3.89
2024/04/18 11:17:24,21.41,3095,4401,62,-9.97,0.45,0.68,87,-60.52,71.20,-31.13,155,SE,3.89
2024/04/18 11:47:35,19.94,3090,4394,62,-9.76,-0.09,0.12,87,-33.34,93.35,5.98,191,S,3.89
2024/04/18 12:17:45,18.71,3081,4381,62,-9.96,0.37,0.34,87,-39.10,90.50,26.92,220,SW,3.88
2024/04/18 12:47:56,17.64,37888,37889,0,0.22,0.16,-9.93,88,17.01,4.91,56.56,18,N,3.89
2024/04/18 13:18:06,15.44,15737,33248,1504,4.51,0.02,9.24,89,-12.36,6.51,-28.85,236,SW,3.88
2024/04/18 13:48:16,11.41,25606,37889,689,-4.89,-0.11,8.70,87,9.02,14.63,-30.33,84,E,3.88
2024/04/18 14:18:27,9.83,29682,37889,304,-5.13,-0.10,8.74,88,17.28,17.91,-26.32,281,W,3.88
2024/04/18 14:48:37,10.55,12485,27909,1390,-5.53,-0.11,8.77,88,-14.26,23.96,-22.94,209,SW,3.88
2024/04/18 15:18:48,11.08,16581,37889,1955,-6.78,-0.28,7.80,84,19.58,40.31,-10.36,308,NW,3.88
2024/04/18 15:48:58,11.86,14837,32515,1568,-7.81,0.60,6.51,86,1.75,25.40,-16.63,316,NW,3.88
2024/04/18 16:19:09,11.88,12969,27943,1309,-7.78,0.02,6.49,88,-9.39,31.67,-18.75,211,SW,3.88
2024/04/18 16:49:19,11.60,2838,4461,95,-0.22,9.80,0.68,5,-40.35,-0.17,-3.01,150,SE,3.88
2024/04/18 17:19:29,11.64,3318,4869,80,-0.13,9.76,0.74,5,-40.46,-0.59,-2.84,171,S,3.88
2024/04/18 17:49:40,11.67,3279,4642,64,-0.30,9.84,0.68,6,-40.47,3.04,-4.89,181,S,3.88
2024/04/18 18:19:50,11.64,3264,4581,61,-0.12,9.77,0.60,5,-40.56,3.24,-4.77,195,S,3.88
2024/04/18 18:50:01,11.44,3227,4433,53,-0.30,9.87,0.59,5,-40.31,-1.00,-1.86,160,S,3.88
2024/04/18 19:20:11,11.33,3223,4393,50,-0.27,9.74,0.68,5,-40.19,1.93,-4.62,156,SE,3.88
2024/04/18 19:50:21,11.39,3230,4390,49,-0.14,9.79,0.64,6,-40.30,-2.84,-0.15,176,S,3.88
2024/04/18 20:20:32,11.43,3226,4384,49,0.00,9.88,0.63,5,-40.20,0.17,-3.29,167,S,3.87
2024/04/18 20:50:42,11.39,3226,4385,49,-0.14,9.79,0.60,4,-40.44,-2.49,-0.56,146,SE,3.88
2024/04/18 21:20:53,11.25,3210,4363,49,-0.15,9.82,0.65,5,-40.47,-2.42,-0.82,181,S,3.87
2024/04/18 21:51:03,11.10,3207,4358,49,-0.44,9.75,0.69,5,-40.53,-0.18,-2.74,160,S,3.88
2024/04/18 22:21:14,11.06,3206,4356,49,-0.24,9.72,0.66,5,-40.45,-2.49,-0.92,152,SE,3.87
2024/04/18 22:51:24,11.02,3204,4355,49,-0.18,9.82,0.55,5,-40.59,-6.48,4.38,189,S,3.87
2024/04/18 23:21:34,11.00,3201,4350,49,-0.18,9.81,0.56,3,-40.67,-5.10,3.36,140,SE,3.87
2024/04/18 23:51:45,10.98,3199,4348,49,-0.15,9.85,0.56,5,-40.55,-4.84,2.01,150,SE,3.87
2024/04/19 00:21:55,10.93,3196,4343,49,-0.11,9.81,0.43,4,-40.39,-2.97,-0.69,137,SE,3.87
2024/04/19 00:52:06,10.89,3194,4341,49,-0.19,9.80,0.62,5,-40.49,-7.71,9.78,181,S,3.87
2024/04/19 01:22:16,10.87,3195,4341,49,-0.09,9.77,0.53,3,-40.66,-7.44,8.63,158,S,3.87
2024/04/19 01:52:26,10.86,3191,4337,49,-0.21,9.66,0.72,5,-40.61,-7.76,8.28,181,S,3.87
2024/04/19 02:22:37,10.83,3191,4336,49,-0.01,9.81,0.50,3,-40.59,-7.79,9.61,163,S,3.87
2024/04/19 02:52:47,10.81,3187,4330,49,-0.19,9.81,0.53,3,-40.84,-7.17,7.62,170,S,3.87
2024/04/19 03:22:58,10.77,3187,4330,48,-0.15,9.92,0.54,3,-40.76,-7.37,9.89,166,S,3.87
2024/04/19 03:53:08,10.73,3229,4395,50,-0.18,9.85,0.53,3,-40.40,-7.60,11.94,173,S,3.87
2024/04/19 04:23:18,10.71,3184,4326,48,-0.17,9.86,0.58,4,-40.68,-6.20,4.59,169,S,3.87
2024/04/19 04:53:29,10.73,3186,4330,49,-0.08,9.81,0.65,4,-40.52,-7.09,6.73,159,S,3.87
2024/04/19 05:23:39,10.75,3188,4348,50,-0.08,9.93,0.57,3,-40.43,-6.17,4.26,153,SE,3.87
2024/04/19 05:53:50,10.75,3195,4404,53,-0.15,9.77,0.60,4,-40.45,-3.86,0.55,150,SE,3.87
2024/04/19 06:24:00,10.83,3220,4504,59,-0.19,9.74,0.43,3,-40.56,27.13,18.23,225,SW,3.87
2024/04/19 06:54:10,10.91,3240,4599,65,-0.14,9.77,0.39,6,-40.10,27.96,14.80,176,S,3.87
2024/04/19 07:24:21,10.93,3272,4820,80,-0.13,9.84,0.41,2,-40.44,27.98,12.22,232,SW,3.87
2024/04/19 07:54:31,11.00,3302,4972,91,-0.17,9.84,0.41,4,-40.03,27.24,5.25,227,SW,3.87
2024/04/19 08:24:42,11.06,3297,4944,89,-0.25,9.82,0.41,5,-40.71,5.96,-5.34,162,S,3.87
2024/04/19 08:54:52,11.06,3298,4945,88,-0.15,9.77,0.63,4,-40.89,-6.14,4.20,164,S,3.87
2024/04/19 09:25:02,11.06,3507,6227,193,-0.20,9.80,0.62,4,-40.66,-4.86,2.09,130,SE,3.86
2024/04/19 09:55:13,11.10,3461,5932,167,-0.25,9.82,0.61,4,-40.74,-5.21,2.87,169,S,3.86
2024/04/19 10:25:23,11.12,3479,6046,177,-0.17,9.73,0.66,5,-40.98,-5.54,3.45,152,SE,3.87
2024/04/19 10:55:34,11.16,3693,7295,289,-0.30,9.74,0.69,5,-40.64,-3.10,-0.06,175,S,3.86
2024/04/19 11:25:44,11.23,3783,7878,346,-0.24,9.81,0.49,4,-40.55,-1.89,-0.47,144,SE,3.86
2024/04/19 11:55:55,11.27,3433,5828,160,-0.28,9.85,0.65,4,-41.06,-6.16,5.82,169,S,3.86
2024/04/19 12:26:05,11.25,3434,5854,163,-0.38,9.93,0.56,5,-41.14,-6.15,5.86,181,S,3.86
2024/04/19 12:56:15,11.25,3391,5583,139,-0.19,9.77,0.58,4,-41.06,-6.64,6.44,154,SE,3.86
2024/04/19 13:26:26,11.27,3393,5605,141,-0.23,9.77,0.67,4,-41.32,-3.85,20.78,180,S,3.86
2024/04/19 13:56:36,11.29,3823,8171,377,-0.22,9.80,0.59,3,-41.49,-3.47,21.92,185,S,3.86
2024/04/19 14:26:47,11.27,3596,6927,260,-0.17,9.79,0.60,3,-41.38,-3.69,21.48,174,S,3.86
2024/04/19 14:56:57,11.12,3765,7941,358,-0.26,9.79,0.59,4,-41.21,-1.83,23.86,193,S,3.86
2024/04/19 15:27:07,10.94,3459,6161,193,-0.26,9.81,0.54,3,-41.26,-5.62,19.15,181,S,3.86
2024/04/19 15:57:18,10.92,3468,6304,207,-0.13,9.78,0.48,2,-40.81,-7.63,12.86,171,S,3.86
2024/04/19 16:27:28,10.89,3475,6250,200,-0.10,9.82,0.53,2,-41.33,-1.41,24.78,184,S,3.86
